Human-Made-Object,dc:relation,Apollo 11 moon landing
Human-Made-Object,crm:P2_has_type,Medal
Human-Made-Object,crm:P62_depicts,Neil Armstrong
Human-Made-Object,schema:locationCreated,Italy
Human-Made-Object,crm:P1_is_identified_by,A19731533000
Human-Made-Object,dc:creator,Constantino Affer
Human-Made-Object,crm:P55_has_current_location,James S. McDonnell Space Hangar
Human-Made-Object,crm:P45_consists_of,Bronze with silver coating
Human-Made-Object,crm:P43_has_dimension,5.1cm
Place,crm:P50_has_current_keeper,National Air And Space Museum
